journal,avgAbstractLength
http://SDM_LAB2.org/jv9914,3670.0
http://SDM_LAB2.org/jv18446,3163.0
http://SDM_LAB2.org/cp57,2770.0
http://SDM_LAB2.org/jv12685,2634.0
http://SDM_LAB2.org/cp43,2497.0
http://SDM_LAB2.org/cp109,2463.0
http://SDM_LAB2.org/jv15707,2188.0
http://SDM_LAB2.org/cp61,1996.0
http://SDM_LAB2.org/jv2811,1989.0
http://SDM_LAB2.org/cp49,1985.0
http://SDM_LAB2.org/cp225,1912.0
http://SDM_LAB2.org/jv2568,1901.0
http://SDM_LAB2.org/cp99,1825.0
http://SDM_LAB2.org/cp103,1821.0
http://SDM_LAB2.org/jv17568,1821.0
http://SDM_LAB2.org/cp71,1781.0
http://SDM_LAB2.org/cp165,1776.0
http://SDM_LAB2.org/cp5,1727.0
http://SDM_LAB2.org/jv19457,1684.0
http://SDM_LAB2.org/cp105,1647.0
http://SDM_LAB2.org/cp121,1643.0
http://SDM_LAB2.org/cp129,1624.0
http://SDM_LAB2.org/jv5791,1606.0
http://SDM_LAB2.org/jv18237,1587.0
http://SDM_LAB2.org/cp91,1516.0
http://SDM_LAB2.org/jv8004,1489.0
http://SDM_LAB2.org/cp45,1467.0
http://SDM_LAB2.org/cp59,1464.0
http://SDM_LAB2.org/cp21,1426.0
http://SDM_LAB2.org/jv19965,1420.0
http://SDM_LAB2.org/cp223,1403.0
http://SDM_LAB2.org/cp163,1399.0
http://SDM_LAB2.org/jv11284,1394.0
http://SDM_LAB2.org/cp147,1381.0
http://SDM_LAB2.org/cp215,1379.0
http://SDM_LAB2.org/cp183,1377.0
http://SDM_LAB2.org/jv5051,1372.0
http://SDM_LAB2.org/cp75,1371.0
http://SDM_LAB2.org/jv15787,1350.0
http://SDM_LAB2.org/cp189,1341.0
http://SDM_LAB2.org/cp173,1334.0
http://SDM_LAB2.org/jv15087,1334.0
http://SDM_LAB2.org/cp115,1329.0
http://SDM_LAB2.org/jv8433,1309.0
http://SDM_LAB2.org/cp149,1303.0
http://SDM_LAB2.org/jv5390,1293.0
http://SDM_LAB2.org/jv11835,1290.0
http://SDM_LAB2.org/cp31,1285.0
http://SDM_LAB2.org/jv2695,1282.0
http://SDM_LAB2.org/cp51,1268.0
http://SDM_LAB2.org/jv1636,1267.0
http://SDM_LAB2.org/jv4737,1265.0
http://SDM_LAB2.org/jv995,1261.0
http://SDM_LAB2.org/jv13545,1256.0
http://SDM_LAB2.org/cp79,1256.0
http://SDM_LAB2.org/jv19118,1245.0
http://SDM_LAB2.org/cp41,1241.0
http://SDM_LAB2.org/cp169,1238.0
http://SDM_LAB2.org/cp17,1235.0
http://SDM_LAB2.org/cp95,1235.0
http://SDM_LAB2.org/cp209,1234.0
http://SDM_LAB2.org/cp15,1225.0
http://SDM_LAB2.org/jv1802,1220.0
http://SDM_LAB2.org/jv8120,1206.0
http://SDM_LAB2.org/cp25,1204.0
http://SDM_LAB2.org/cp135,1201.0
http://SDM_LAB2.org/jv18141,1174.0
http://SDM_LAB2.org/cp217,1166.0
http://SDM_LAB2.org/jv5530,1165.0
http://SDM_LAB2.org/cp53,1160.0
http://SDM_LAB2.org/cp125,1151.0
http://SDM_LAB2.org/jv18639,1147.547738693467336683417085
http://SDM_LAB2.org/cp123,1143.0
http://SDM_LAB2.org/cp201,1143.0
http://SDM_LAB2.org/jv12206,1121.0
http://SDM_LAB2.org/jv3561,1110.0
http://SDM_LAB2.org/jv6873,1108.0
http://SDM_LAB2.org/jv12666,1083.0
http://SDM_LAB2.org/cp39,1075.0
http://SDM_LAB2.org/jv1306,1070.0
http://SDM_LAB2.org/jv7629,1066.0
http://SDM_LAB2.org/jv7777,1064.0
http://SDM_LAB2.org/cp211,1039.0
http://SDM_LAB2.org/jv19115,1035.0
http://SDM_LAB2.org/cp13,1030.0
http://SDM_LAB2.org/cp87,1023.0
http://SDM_LAB2.org/cp227,1008.0
http://SDM_LAB2.org/jv19488,1000.0
http://SDM_LAB2.org/jv15708,996.0
http://SDM_LAB2.org/jv13417,993.0
http://SDM_LAB2.org/jv1998,990.0
http://SDM_LAB2.org/cp9,985.0
http://SDM_LAB2.org/jv18047,973.0
http://SDM_LAB2.org/cp23,964.0
http://SDM_LAB2.org/jv9874,944.0
http://SDM_LAB2.org/cp195,939.0
http://SDM_LAB2.org/jv13949,931.0
http://SDM_LAB2.org/jv13877,893.0
http://SDM_LAB2.org/jv18227,888.0
http://SDM_LAB2.org/cp33,872.0
http://SDM_LAB2.org/jv10817,861.0
http://SDM_LAB2.org/cp171,860.0
http://SDM_LAB2.org/cp67,856.0
http://SDM_LAB2.org/cp85,852.0
http://SDM_LAB2.org/jv18942,844.0
http://SDM_LAB2.org/jv16216,835.0
http://SDM_LAB2.org/cp77,831.0
http://SDM_LAB2.org/jv13773,826.0
http://SDM_LAB2.org/cp213,824.0
http://SDM_LAB2.org/jv8838,795.0
http://SDM_LAB2.org/cp29,794.0
http://SDM_LAB2.org/cp139,785.0
http://SDM_LAB2.org/jv11589,782.0
http://SDM_LAB2.org/cp203,769.0
http://SDM_LAB2.org/jv6331,769.0
http://SDM_LAB2.org/jv1930,741.0
http://SDM_LAB2.org/jv1899,729.0
http://SDM_LAB2.org/jv13067,722.0
http://SDM_LAB2.org/cp19,717.0
http://SDM_LAB2.org/cp199,694.0
http://SDM_LAB2.org/jv7208,689.0
http://SDM_LAB2.org/jv1059,665.0
http://SDM_LAB2.org/cp63,655.0
http://SDM_LAB2.org/jv17879,629.0
http://SDM_LAB2.org/jv9474,611.0
http://SDM_LAB2.org/cp205,590.0
http://SDM_LAB2.org/cp27,590.0
http://SDM_LAB2.org/cp127,588.0
http://SDM_LAB2.org/cp11,525.0
http://SDM_LAB2.org/jv11653,461.0
http://SDM_LAB2.org/jv9762,440.0
http://SDM_LAB2.org/jv7574,406.0
http://SDM_LAB2.org/cp145,378.0
http://SDM_LAB2.org/jv9208,376.0
http://SDM_LAB2.org/jv11837,363.0
http://SDM_LAB2.org/cp181,347.0
http://SDM_LAB2.org/cp155,341.0
http://SDM_LAB2.org/jv9268,332.0
http://SDM_LAB2.org/cp131,320.0
http://SDM_LAB2.org/cp65,296.0
http://SDM_LAB2.org/jv4389,289.0
http://SDM_LAB2.org/cp1,200.0
http://SDM_LAB2.org/cp93,135.0
http://SDM_LAB2.org/jv161,129.0
http://SDM_LAB2.org/cp73,117.0
http://SDM_LAB2.org/jv16646,0.0E0
http://SDM_LAB2.org/jv15795,0.0E0
http://SDM_LAB2.org/jv16023,0.0E0
http://SDM_LAB2.org/cp101,0.0E0
http://SDM_LAB2.org/jv14948,0.0E0
http://SDM_LAB2.org/cp107,0.0E0
http://SDM_LAB2.org/jv502,0.0E0
http://SDM_LAB2.org/cp111,0.0E0
http://SDM_LAB2.org/jv17868,0.0E0
http://SDM_LAB2.org/cp113,0.0E0
http://SDM_LAB2.org/jv17247,0.0E0
http://SDM_LAB2.org/jv8755,0.0E0
http://SDM_LAB2.org/cp117,0.0E0
http://SDM_LAB2.org/cp119,0.0E0
http://SDM_LAB2.org/jv1685,0.0E0
http://SDM_LAB2.org/jv1678,0.0E0
http://SDM_LAB2.org/jv9789,0.0E0
http://SDM_LAB2.org/jv11252,0.0E0
http://SDM_LAB2.org/cp133,0.0E0
http://SDM_LAB2.org/jv13931,0.0E0
http://SDM_LAB2.org/jv16157,0.0E0
http://SDM_LAB2.org/cp137,0.0E0
http://SDM_LAB2.org/jv2433,0.0E0
http://SDM_LAB2.org/cp141,0.0E0
http://SDM_LAB2.org/cp151,0.0E0
http://SDM_LAB2.org/cp153,0.0E0
http://SDM_LAB2.org/jv6585,0.0E0
http://SDM_LAB2.org/cp157,0.0E0
http://SDM_LAB2.org/cp159,0.0E0
http://SDM_LAB2.org/cp161,0.0E0
http://SDM_LAB2.org/jv5855,0.0E0
http://SDM_LAB2.org/cp167,0.0E0
http://SDM_LAB2.org/jv19894,0.0E0
http://SDM_LAB2.org/jv11447,0.0E0
http://SDM_LAB2.org/cp175,0.0E0
http://SDM_LAB2.org/cp177,0.0E0
http://SDM_LAB2.org/cp179,0.0E0
http://SDM_LAB2.org/cp185,0.0E0
http://SDM_LAB2.org/cp187,0.0E0
http://SDM_LAB2.org/cp191,0.0E0
http://SDM_LAB2.org/jv6546,0.0E0
http://SDM_LAB2.org/cp193,0.0E0
http://SDM_LAB2.org/jv8338,0.0E0
http://SDM_LAB2.org/cp197,0.0E0
http://SDM_LAB2.org/jv6396,0.0E0
http://SDM_LAB2.org/jv19360,0.0E0
http://SDM_LAB2.org/jv5759,0.0E0
http://SDM_LAB2.org/jv11111,0.0E0
http://SDM_LAB2.org/cp207,0.0E0
http://SDM_LAB2.org/jv14257,0.0E0
http://SDM_LAB2.org/jv2049,0.0E0
http://SDM_LAB2.org/cp219,0.0E0
http://SDM_LAB2.org/jv14589,0.0E0
http://SDM_LAB2.org/cp221,0.0E0
http://SDM_LAB2.org/jv7400,0.0E0
http://SDM_LAB2.org/jv2747,0.0E0
http://SDM_LAB2.org/jv17912,0.0E0
http://SDM_LAB2.org/jv3556,0.0E0
http://SDM_LAB2.org/cp35,0.0E0
http://SDM_LAB2.org/jv10627,0.0E0
http://SDM_LAB2.org/cp37,0.0E0
http://SDM_LAB2.org/jv10555,0.0E0
http://SDM_LAB2.org/jv11016,0.0E0
http://SDM_LAB2.org/cp47,0.0E0
http://SDM_LAB2.org/jv14541,0.0E0
http://SDM_LAB2.org/jv1585,0.0E0
http://SDM_LAB2.org/cp55,0.0E0
http://SDM_LAB2.org/jv9692,0.0E0
http://SDM_LAB2.org/jv8529,0.0E0
http://SDM_LAB2.org/cp69,0.0E0
http://SDM_LAB2.org/cp7,0.0E0
http://SDM_LAB2.org/jv14423,0.0E0
http://SDM_LAB2.org/cp83,0.0E0
http://SDM_LAB2.org/jv5258,0.0E0
http://SDM_LAB2.org/jv391,0.0E0
http://SDM_LAB2.org/cp89,0.0E0
http://SDM_LAB2.org/jv19483,0.0E0
http://SDM_LAB2.org/cp97,0.0E0
